Amostra;Potencia;Velocidade;Energia;M Seca;M molhada;Densidade;Densificação;Particulas Não Fundidas
1;125;318;163,7840671;0,635333333;0,517333333;5,384180791;99,20%;2,39%
2;200;508;164,0419948;0,645;0,525;5,375;99,00%;0,52%
3;275;699;163,9246543;0,665666667;0,536666667;5,160206718;95,00%;0,58%
4;350;889;164,0419948;0,651333333;0,524;5,115183246;94,20%;0,59%
5;157;400;163,5416667;0,580333333;0,465666667;5,061046512;93,20%;7,71%
6;216;550;163,6363636;0,617333333;0,501333333;5,32183908;98,00%;8,88%
7;276;700;164,2857143;0,628666667;0,504666667;5,069892473;93,40%;1,19%
8;335;850;164,2156863;0,623333333;0,496666667;4,921052632;90,60%;1,27%
9;394;1000;164,1666667;0,564333333;0,449333333;4,907246377;90,40%;1,07%
